id,name,description,created_at,updated_at
1c05cb7a-6e47-45bd-b3c3-eb1f00671364,TEST,"espara el video tutorial","2025-07-26 20:12:05","2025-07-26 20:12:17"
33285d3f-55fc-47c4-95c1-52589c942325,MARKETING,"Este ususario es captador de prescriotores","2025-07-26 20:06:37","2025-07-26 20:07:02"
550e8400-e29b-41d4-a716-446655440001,ADMIN,"Administrador del sistema con todos los permisos","2025-07-09 16:54:41","2025-07-09 16:54:41"
550e8400-e29b-41d4-a716-446655440002,MODERATOR,"Moderador con permisos limitados","2025-07-09 16:54:41","2025-07-09 16:54:41"
550e8400-e29b-41d4-a716-446655440003,USER,"Usuario básico del sistema","2025-07-09 16:54:41","2025-07-09 16:54:41"
550e8400-e29b-41d4-a716-446655440004,GUEST,"Usuario invitado con permisos mínimos","2025-07-09 16:54:41","2025-07-09 16:54:41"
5e6e517e-584b-42be-a7a3-564ee14e8723,PRESCRIPTOR,"usuario Prescriptor","2025-07-10 14:23:12","2025-07-10 14:23:12"
95ccbed7-5731-4068-80f1-9f88ec598974,COMERCIAL,"no se si no esta de mas este rol","2025-07-14 12:14:16","2025-07-14 12:14:16"
deeba0da-d383-4f87-aae7-4f449814a4bc,FINANZAS,,"2025-07-13 11:46:30","2025-07-13 11:46:30"
