role_id,permission_id
5e6e517e-584b-42be-a7a3-564ee14e8723,0023e154-ded2-4b2c-9af9-df6bfe4af391
deeba0da-d383-4f87-aae7-4f449814a4bc,071310fb-e100-4ac7-9e04-257f9dc739a2
550e8400-e29b-41d4-a716-446655440001,0b93f834-6289-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,0b941ee6-6289-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,0b941f2c-6289-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,0dd982b1-fd56-413f-877f-3edacc802374
deeba0da-d383-4f87-aae7-4f449814a4bc,0dd982b1-fd56-413f-877f-3edacc802374
95ccbed7-5731-4068-80f1-9f88ec598974,0e6ce388-936e-49b1-a940-51538a2450bb
95ccbed7-5731-4068-80f1-9f88ec598974,0f65d619-930a-4b28-8ca6-3f616d20f8da
95ccbed7-5731-4068-80f1-9f88ec598974,1d65470d-00ff-43b9-ab91-9474f3be018f
550e8400-e29b-41d4-a716-446655440001,243a19f2-95ce-4c4c-8f46-691f3c017a3e
550e8400-e29b-41d4-a716-446655440001,2465d8ec-d01e-4d20-aae9-330aa626590f
550e8400-e29b-41d4-a716-446655440001,2cab1863-5d16-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,2cab1b25-5d16-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,2cab1b6f-5d16-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,2cab1ba0-5d16-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,2d2b4b0a-8ad6-4353-aa0e-07770f908544
550e8400-e29b-41d4-a716-446655440001,362d7ae4-5dec-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,362d7ae4-5dec-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,362d7ae4-5dec-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,362dd681-5dec-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,362dd681-5dec-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,362dd681-5dec-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,362dd721-5dec-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,362dd721-5dec-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,362dd721-5dec-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,362dd75b-5dec-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,362dd75b-5dec-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,362dd75b-5dec-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,388eddb2-31f9-421c-9206-a0a0c4b9c8ae
deeba0da-d383-4f87-aae7-4f449814a4bc,388eddb2-31f9-421c-9206-a0a0c4b9c8ae
550e8400-e29b-41d4-a716-446655440001,3fd67297-5d1f-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,3fd693ce-5d1f-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,3fd6946e-5d1f-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,3fd694a7-5d1f-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,4283eec1-00d8-47a5-9bed-50e3ca2e0614
deeba0da-d383-4f87-aae7-4f449814a4bc,469fec30-0220-4806-90cc-0c82ca184a94
deeba0da-d383-4f87-aae7-4f449814a4bc,4f4ff49a-4bd2-4032-a2ba-df38b1df88d3
550e8400-e29b-41d4-a716-446655440001,51f0462c-5f48-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,51f0462c-5f48-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,51f0462c-5f48-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,548b1240-0281-4f8e-8c0e-1c5a6d9988e3
550e8400-e29b-41d4-a716-446655440001,5d3f61d9-c0c2-4349-9c14-8105a7746ea5
deeba0da-d383-4f87-aae7-4f449814a4bc,5d3f61d9-c0c2-4349-9c14-8105a7746ea5
95ccbed7-5731-4068-80f1-9f88ec598974,5f09963e-633b-41a7-b25a-92099a749209
deeba0da-d383-4f87-aae7-4f449814a4bc,66bcd913-953c-4596-bcc0-a2c52741976d
550e8400-e29b-41d4-a716-446655440001,6884a27d-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,68858f4e-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440002,68858f4e-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440003,68858f4e-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,6886122a-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440002,6886122a-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,688612c2-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,688612f8-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,6886132a-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440002,6886132a-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,68861355-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,6886139b-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,688613cc-5ce5-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,688613cc-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,688613f5-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440002,688613f5-5ce5-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,688613f5-5ce5-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,688613f5-5ce5-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,68861420-5ce5-11f0-ac73-0256b145af91
5e6e517e-584b-42be-a7a3-564ee14e8723,6ab72087-1241-4f97-9ea8-65466465c0e9
95ccbed7-5731-4068-80f1-9f88ec598974,6ab72087-1241-4f97-9ea8-65466465c0e9
deeba0da-d383-4f87-aae7-4f449814a4bc,6ab72087-1241-4f97-9ea8-65466465c0e9
5e6e517e-584b-42be-a7a3-564ee14e8723,6ce3b79f-10a4-4ffb-a983-7734f44db336
deeba0da-d383-4f87-aae7-4f449814a4bc,6ce3b79f-10a4-4ffb-a983-7734f44db336
550e8400-e29b-41d4-a716-446655440001,6dcf68ad-5d18-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,6dcf6aea-5d18-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,6dcf6b31-5d18-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,6dcf6b60-5d18-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,6fbda269-c955-4e23-b2de-e774a5392910
deeba0da-d383-4f87-aae7-4f449814a4bc,6fbda269-c955-4e23-b2de-e774a5392910
550e8400-e29b-41d4-a716-446655440001,70833684-5cfb-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,70835bf0-5cfb-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,70835bf0-5cfb-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,70835c83-5cfb-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,70835d9c-5cfb-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,71f0f440-df35-45c3-8674-f1f2fdec5c11
95ccbed7-5731-4068-80f1-9f88ec598974,71f0f440-df35-45c3-8674-f1f2fdec5c11
95ccbed7-5731-4068-80f1-9f88ec598974,72b6f788-af5d-4a9c-b267-7ff6067677b7
550e8400-e29b-41d4-a716-446655440001,73ae3387-5d16-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,73ae35d4-5d16-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,73ae361f-5d16-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,73ae3653-5d16-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,8649b0ec-6df4-4e98-a526-eddc93090488
95ccbed7-5731-4068-80f1-9f88ec598974,86b386ca-68e3-4f80-ac8a-e567408a98e0
95ccbed7-5731-4068-80f1-9f88ec598974,8899d12f-a26d-4b0c-b7ce-5bb7f4cd0f01
95ccbed7-5731-4068-80f1-9f88ec598974,8dceb13f-e8ef-4020-829f-2427f3cbf267
550e8400-e29b-41d4-a716-446655440001,93ab12d7-5f50-11f0-ac73-0256b145af91
5e6e517e-584b-42be-a7a3-564ee14e8723,93ab12d7-5f50-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,95510f5f-5dcc-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,95510f5f-5dcc-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,95515cd5-5dcc-11f0-ac73-0256b145af91
5e6e517e-584b-42be-a7a3-564ee14e8723,95515cd5-5dcc-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,95515cd5-5dcc-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,95516f3c-5dcc-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,95516fcd-5dcc-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,97d9ec53-d052-4791-8bce-9b5caa217787
deeba0da-d383-4f87-aae7-4f449814a4bc,982d8afa-e5d8-4725-9c32-1deda51fea55
deeba0da-d383-4f87-aae7-4f449814a4bc,98bebbe0-23f9-44e2-ad16-826b10cf1455
550e8400-e29b-41d4-a716-446655440001,9d5f7801-cce5-4056-be5e-301be10d5d5f
95ccbed7-5731-4068-80f1-9f88ec598974,9d5f7801-cce5-4056-be5e-301be10d5d5f
550e8400-e29b-41d4-a716-446655440001,a608ce43-3967-4926-9ac3-46dfbd5bc81a
550e8400-e29b-41d4-a716-446655440001,a7bc000f-fa28-4384-b8ce-52a49f1a4ab8
95ccbed7-5731-4068-80f1-9f88ec598974,a7bc000f-fa28-4384-b8ce-52a49f1a4ab8
550e8400-e29b-41d4-a716-446655440001,aadc8dbe-64fa-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,aadc8dbe-64fa-11f0-ac73-0256b145af91
5e6e517e-584b-42be-a7a3-564ee14e8723,ab6cae19-fec0-417d-9674-fcd802b2c622
deeba0da-d383-4f87-aae7-4f449814a4bc,ab6cae19-fec0-417d-9674-fcd802b2c622
5e6e517e-584b-42be-a7a3-564ee14e8723,acbf2b46-59ec-4e49-b9ad-77e7549444cc
95ccbed7-5731-4068-80f1-9f88ec598974,acbf2b46-59ec-4e49-b9ad-77e7549444cc
deeba0da-d383-4f87-aae7-4f449814a4bc,acbf2b46-59ec-4e49-b9ad-77e7549444cc
550e8400-e29b-41d4-a716-446655440001,b10fa693-5d15-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,b11049be-5d15-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,b1104abc-5d15-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,b1104bdd-5d15-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,b14cf38e-75d2-4286-a6b5-43fad197cece
550e8400-e29b-41d4-a716-446655440001,b2c07df5-5d16-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,b2c0805d-5d16-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,b2c080ab-5d16-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,b2c080e2-5d16-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,bea06472-4a34-4c0d-a6c0-bc125f80ae3e
deeba0da-d383-4f87-aae7-4f449814a4bc,c0040a7c-af54-45bc-ba62-4219d24451ec
deeba0da-d383-4f87-aae7-4f449814a4bc,c045ffa1-c6b6-4b6e-9702-69d378f8d236
550e8400-e29b-41d4-a716-446655440001,c24b3177-ce88-4575-8ce7-77834898c194
95ccbed7-5731-4068-80f1-9f88ec598974,c24b3177-ce88-4575-8ce7-77834898c194
deeba0da-d383-4f87-aae7-4f449814a4bc,c24b3177-ce88-4575-8ce7-77834898c194
95ccbed7-5731-4068-80f1-9f88ec598974,c37bb338-0731-47e8-a211-4de0fa73d0c4
550e8400-e29b-41d4-a716-446655440001,d07de01b-5d98-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,d07de293-5d98-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,d07de2e1-5d98-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,d07de314-5d98-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,d43ec2f4-5f04-11f0-ac73-0256b145af91
5e6e517e-584b-42be-a7a3-564ee14e8723,d43ec2f4-5f04-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,d43ec2f4-5f04-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,dbfd09c0-5db7-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,dbfd09c0-5db7-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,dbfd4d59-5db7-11f0-ac73-0256b145af91
5e6e517e-584b-42be-a7a3-564ee14e8723,dbfd4d59-5db7-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,dbfd4d59-5db7-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,dbfd4f28-5db7-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,dbfd4f28-5db7-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,dbfd4f6e-5db7-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,df73b3aa-f7b7-41f0-8d85-6e34ef48e99b
550e8400-e29b-41d4-a716-446655440001,eb711c49-34fe-41b5-b778-214cb51cd9da
deeba0da-d383-4f87-aae7-4f449814a4bc,eb711c49-34fe-41b5-b778-214cb51cd9da
550e8400-e29b-41d4-a716-446655440001,f5c044f5-5fdf-11f0-ac73-0256b145af91
deeba0da-d383-4f87-aae7-4f449814a4bc,f5c044f5-5fdf-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,fa0af813-5d97-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,fa0c2fd5-5d97-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,fa0c324b-5d97-11f0-ac73-0256b145af91
550e8400-e29b-41d4-a716-446655440001,fa0c3294-5d97-11f0-ac73-0256b145af91
95ccbed7-5731-4068-80f1-9f88ec598974,fa1ec890-f451-4de2-8e44-0b9c9c94e85c
550e8400-e29b-41d4-a716-446655440001,fc037a57-a534-496f-9250-4d57e43e63f4
5e6e517e-584b-42be-a7a3-564ee14e8723,fc037a57-a534-496f-9250-4d57e43e63f4
deeba0da-d383-4f87-aae7-4f449814a4bc,fc037a57-a534-496f-9250-4d57e43e63f4
550e8400-e29b-41d4-a716-446655440001,fe3c0b7a-6e3b-4b66-8865-0cf20130fa81
